tournament,date,aName,bName,aSets,bSets,aS1,aS2,aS3,aS4,aS5,bS1,bS2,bS3,bS4,bS5,surface,level,federation
"Argentina Open - Buenos Aires 2019" ,2019-02-11 00:00:00 ,"Marcelo Demoliner/Frederik Nielsen" ,"Marcelo Arevalo/James Cerretani" ,2 ,1 ,6 ,3 ,1 , , ,3 ,6 ,5 , , ,CLAY ,atp ,ATP
"ABN AMRO World Tennis Tournament - Rotterdam 2019" ,2019-02-12 00:00:00 ,"Rajeev Ram/Joe Salisbury" ,"Lukasz Kubot/Marcelo Melo" ,2 ,0 ,6 ,7 , , , ,4 ,6 , , , ,I. HARD ,atp ,ATP
"ABN AMRO World Tennis Tournament - Rotterdam 2019" ,2019-02-12 00:00:00 ,"Robin Haase/Matwe Middelkoop" ,"Dominic Inglot/Franko Skugor" ,2 ,1 ,6 ,6 ,1 , , ,7 ,3 ,4 , , ,I. HARD ,atp ,ATP
"Argentina Open - Buenos Aires 2019" ,2019-02-12 00:00:00 ,"Diego Sebastian Schwartzman/Dominic Thiem" ,"Pablo Cuevas/Marc Lopez" ,2 ,0 ,6 ,7 , , , ,3 ,5 , , , ,CLAY ,atp ,ATP
"Cherbourg Challenger 2019" ,2019-02-12 00:00:00 ,"Benjamin Bonzi/Ugo Humbert" ,"Elliot Benchetrit/Geoffrey Blancaneaux" ,1 ,0 ,6 ,4 , , , ,1 ,1 , , , ,I. HARD ,challeger ,ATP
"Cherbourg Challenger 2019" ,2019-02-12 00:00:00 ,"Mats Moraing/Oscar Otte" ,"Baptiste Crepatte/Roman Safiullin" ,2 ,0 ,7 ,6 , , , ,5 ,2 , , , ,I. HARD ,challeger ,ATP
"New York Open - New York 2019" ,2019-02-12 00:00:00 ,"Santiago Gonzalez/Aisam Qureshi" ,"Brendan Evans/John Isner" ,2 ,0 ,6 ,6 , , , ,3 ,2 , , , ,I. HARD ,atp ,ATP
"New York Open - New York 2019" ,2019-02-12 00:00:00 ,"Adrian Mannarino/Hugo Nys" ,"Radu Albot/John Patrick Smith" ,2 ,1 ,6 ,3 ,1 , , ,1 ,6 ,8 , , ,I. HARD ,atp ,ATP
"New York Open - New York 2019" ,2019-02-12 00:00:00 ,"Mackenzie McDonald/John Millman" ,"Steve Johnson/Reilly Opelka" ,2 ,1 ,4 ,6 ,1 , , ,6 ,4 ,9 , , ,I. HARD ,atp ,ATP
"ABN AMRO World Tennis Tournament - Rotterdam 2019" ,2019-02-13 00:00:00 ,"Wesley Koolhof/Jurgen Melzer" ,"Raven Klaasen/Michael Venus" ,2 ,0 ,6 ,6 , , , ,4 ,4 , , , ,I. HARD ,atp ,ATP
"ABN AMRO World Tennis Tournament - Rotterdam 2019" ,2019-02-13 00:00:00 ,"Jean Julien Rojer/Horia Tecau" ,"Nikoloz Basilashvili/Matthew Ebden" ,2 ,0 ,6 ,6 , , , ,3 ,4 , , , ,I. HARD ,atp ,ATP
"ABN AMRO World Tennis Tournament - Rotterdam 2019" ,2019-02-13 00:00:00 ,"Ivan Dodig/Edouard Roger Vasselin" ,"Oliver Marach/Mate Pavic" ,2 ,1 ,6 ,6 ,1 , , ,3 ,7 ,3 , , ,I. HARD ,atp ,ATP
"ABN AMRO World Tennis Tournament - Rotterdam 2019" ,2019-02-13 00:00:00 ,"Marcel Granollers/Nikola Mektic" ,"Sander Arends/David Pel" ,2 ,0 ,7 ,6 , , , ,5 ,4 , , , ,I. HARD ,atp ,ATP
"Argentina Open - Buenos Aires 2019" ,2019-02-13 00:00:00 ,"Roman Jebavy/Andres Molteni" ,"Taro Daniel/Maximilian Marterer" ,2 ,0 ,6 ,6 , , , ,4 ,2 , , , ,CLAY ,atp ,ATP
"Argentina Open - Buenos Aires 2019" ,2019-02-13 00:00:00 ,"Maximo Gonzalez/Horacio Zeballos" ,"Nicholas Monroe/Miguel Angel Reyes Varela" ,2 ,0 ,7 ,6 , , , ,6 ,4 , , , ,CLAY ,atp ,ATP
"Argentina Open - Buenos Aires 2019" ,2019-02-13 00:00:00 ,"Diego Sebastian Schwartzman/Dominic Thiem" ,"Roberto Carballes Baena/Malek Jaziri" ,2 ,0 ,6 ,6 , , , ,4 ,1 , , , ,CLAY ,atp ,ATP
"Cherbourg Challenger 2019" ,2019-02-13 00:00:00 ,"Jeevan Nedunchezhiyan/Purav Raja" ,"Nikola Cacic/Tomislav Draganja" ,2 ,0 ,6 ,6 , , , ,3 ,2 , , , ,I. HARD ,challeger ,ATP
"Cherbourg Challenger 2019" ,2019-02-13 00:00:00 ,"Andreas Siljestrom/Szymon Walkow" ,"Zdenek Kolar/Mark Vervoort" ,2 ,1 ,6 ,6 ,1 , , ,7 ,1 ,4 , , ,I. HARD ,challeger ,ATP
"Cherbourg Challenger 2019" ,2019-02-13 00:00:00 ,"Robert Galloway/Nathaniel Lammons" ,"Jonathan Eysseric/Viktor Galovic" ,2 ,1 ,6 ,6 ,1 , , ,7 ,3 ,8 , , ,I. HARD ,challeger ,ATP
"New York Open - New York 2019" ,2019-02-13 00:00:00 ,"Luke Bambridge/Jonny O'Mara" ,"Denys Molchanov/Igor Zelenay" ,2 ,0 ,6 ,6 , , , ,4 ,3 , , , ,I. HARD ,atp ,ATP
"New York Open - New York 2019" ,2019-02-13 00:00:00 ,"Kevin Krawietz/Andreas Mies" ,"Ken Skupski/Neal Skupski" ,2 ,0 ,7 ,7 , , , ,5 ,6 , , , ,I. HARD ,atp ,ATP
"New York Open - New York 2019" ,2019-02-13 00:00:00 ,"Robert Lindstedt/Tim Puetz" ,"Lleyton Hewitt/Alexei Popyrin" ,2 ,0 ,6 ,6 , , , ,4 ,4 , , , ,I. HARD ,atp ,ATP
"New York Open - New York 2019" ,2019-02-13 00:00:00 ,"Ryan Harrison/Jordan Thompson" ,"Paolo Lorenzi/Peter Polansky" ,2 ,1 ,6 ,3 ,1 , , ,1 ,6 ,1 , , ,I. HARD ,atp ,ATP
"ABN AMRO World Tennis Tournament - Rotterdam 2019" ,2019-02-14 00:00:00 ,"Jeremy Chardy/Henri Kontinen" ,"Ivan Dodig/Edouard Roger Vasselin" ,2 ,1 ,4 ,6 ,1 , , ,6 ,2 ,9 , , ,I. HARD ,atp ,ATP
"Argentina Open - Buenos Aires 2019" ,2019-02-14 00:00:00 ,"Guido Andreozzi/Guido Pella" ,"Gerard Granollers/Joao Sousa" ,2 ,0 ,6 ,6 , , , ,4 ,3 , , , ,CLAY ,atp ,ATP
"Argentina Open - Buenos Aires 2019" ,2019-02-14 00:00:00 ,"Marco Cecchinato/Dusan Lajovic" ,"Roman Jebavy/Andres Molteni" ,2 ,1 ,6 ,5 ,1 , , ,3 ,7 ,3 , , ,CLAY ,atp ,ATP
"Argentina Open - Buenos Aires 2019" ,2019-02-14 00:00:00 ,"Maximo Gonzalez/Horacio Zeballos" ,"Guido Andreozzi/Guido Pella" ,2 ,0 ,6 ,7 , , , ,4 ,6 , , , ,CLAY ,atp ,ATP
"Cherbourg Challenger 2019" ,2019-02-14 00:00:00 ,"Javier Barranco Cosano/Raul Brancaccio" ,"Wilfredo Gonzalez/Hugo Voljacques" ,2 ,1 ,2 ,6 ,1 , , ,6 ,4 ,7 , , ,I. HARD ,challeger ,ATP
"Cherbourg Challenger 2019" ,2019-02-14 00:00:00 ,"Luca Margaroli/David Vega Hernandez" ,"Ruben Bemelmans/Arthur De Greef" ,1 ,0 ,w , , , , , , , , , ,I. HARD ,challeger ,ATP
"Cherbourg Challenger 2019" ,2019-02-14 00:00:00 ,"Robert Galloway/Nathaniel Lammons" ,"Andres Artunedo Martinavarr/Riccardo Bonadio" ,2 ,0 ,6 ,6 , , , ,4 ,1 , , , ,I. HARD ,challeger ,ATP
"Cherbourg Challenger 2019" ,2019-02-14 00:00:00 ,"Jeevan Nedunchezhiyan/Purav Raja" ,"Mats Moraing/Oscar Otte" ,1 ,0 ,w , , , , , , , , , ,I. HARD ,challeger ,ATP
"Cherbourg Challenger 2019" ,2019-02-14 00:00:00 ,"Benjamin Bonzi/Ugo Humbert" ,"Luca Margaroli/David Vega Hernandez" ,2 ,0 ,6 ,6 , , , ,1 ,1 , , , ,I. HARD ,challeger ,ATP
"New York Open - New York 2019" ,2019-02-14 00:00:00 ,"Robert Lindstedt/Tim Puetz" ,"Ryan Harrison/Jordan Thompson" ,2 ,1 ,6 ,6 ,1 , , ,7 ,2 ,6 , , ,I. HARD ,atp ,ATP
"New York Open - New York 2019" ,2019-02-14 00:00:00 ,"Kevin Krawietz/Andreas Mies" ,"Mackenzie McDonald/John Millman" ,2 ,0 ,6 ,6 , , , ,3 ,2 , , , ,I. HARD ,atp ,ATP
"ABN AMRO World Tennis Tournament - Rotterdam 2019" ,2019-02-15 00:00:00 ,"Marcel Granollers/Nikola Mektic" ,"Philipp Kohlschreiber/Fernando Verdasco" ,1 ,0 ,w , , , , , , , , , ,I. HARD ,atp ,ATP
"ABN AMRO World Tennis Tournament - Rotterdam 2019" ,2019-02-15 00:00:00 ,"Rajeev Ram/Joe Salisbury" ,"Robin Haase/Matwe Middelkoop" ,2 ,0 ,7 ,6 , , , ,6 ,4 , , , ,I. HARD ,atp ,ATP
"ABN AMRO World Tennis Tournament - Rotterdam 2019" ,2019-02-15 00:00:00 ,"Jean Julien Rojer/Horia Tecau" ,"Wesley Koolhof/Jurgen Melzer" ,2 ,0 ,6 ,6 , , , ,1 ,2 , , , ,I. HARD ,atp ,ATP
"Argentina Open - Buenos Aires 2019" ,2019-02-15 00:00:00 ,"Jaume Antoni Munar Clar/Albert Ramos Vinolas" ,"Marcelo Demoliner/Frederik Nielsen" ,2 ,1 ,2 ,6 ,1 , , ,6 ,3 ,5 , , ,CLAY ,atp ,ATP
"Argentina Open - Buenos Aires 2019" ,2019-02-15 00:00:00 ,"Maximo Gonzalez/Horacio Zeballos" ,"Marco Cecchinato/Dusan Lajovic" ,2 ,0 ,6 ,6 , , , ,1 ,3 , , , ,CLAY ,atp ,ATP
"Cherbourg Challenger 2019" ,2019-02-15 00:00:00 ,"Javier Barranco Cosano/Raul Brancaccio" ,"Andreas Siljestrom/Szymon Walkow" ,2 ,0 ,6 ,7 , , , ,4 ,6 , , , ,I. HARD ,challeger ,ATP
"New York Open - New York 2019" ,2019-02-15 00:00:00 ,"Tennys Sandgren/Jack Withrow" ,"Bob Bryan/Mike Bryan" ,2 ,0 ,7 ,6 , , , ,6 ,4 , , , ,I. HARD ,atp ,ATP
"ABN AMRO World Tennis Tournament - Rotterdam 2019" ,2019-02-16 00:00:00 ,"Jeremy Chardy/Henri Kontinen" ,"Marcel Granollers/Nikola Mektic" ,2 ,1 ,6 ,6 ,1 , , ,7 ,4 ,6 , , ,I. HARD ,atp ,ATP
"ABN AMRO World Tennis Tournament - Rotterdam 2019" ,2019-02-16 00:00:00 ,"Jean Julien Rojer/Horia Tecau" ,"Rajeev Ram/Joe Salisbury" ,2 ,1 ,3 ,6 ,1 , , ,6 ,2 ,7 , , ,I. HARD ,atp ,ATP
"Argentina Open - Buenos Aires 2019" ,2019-02-16 00:00:00 ,"Diego Sebastian Schwartzman/Dominic Thiem" ,"Jaume Antoni Munar Clar/Albert Ramos Vinolas" ,2 ,1 ,6 ,3 ,1 , , ,4 ,6 ,6 , , ,CLAY ,atp ,ATP
"Cherbourg Challenger 2019" ,2019-02-16 00:00:00 ,"Javier Barranco Cosano/Raul Brancaccio" ,"Jeevan Nedunchezhiyan/Purav Raja" ,2 ,1 ,6 ,3 ,1 , , ,4 ,6 ,6 , , ,I. HARD ,challeger ,ATP
"Cherbourg Challenger 2019" ,2019-02-16 00:00:00 ,"Robert Galloway/Nathaniel Lammons" ,"Benjamin Bonzi/Ugo Humbert" ,2 ,0 ,6 ,6 , , , ,4 ,4 , , , ,I. HARD ,challeger ,ATP
"New York Open - New York 2019" ,2019-02-16 00:00:00 ,"Adrian Mannarino/Hugo Nys" ,"Tennys Sandgren/Jack Withrow" ,2 ,1 ,7 ,4 ,1 , , ,6 ,6 ,8 , , ,I. HARD ,atp ,ATP
"New York Open - New York 2019" ,2019-02-16 00:00:00 ,"Kevin Krawietz/Andreas Mies" ,"Robert Lindstedt/Tim Puetz" ,2 ,0 ,6 ,6 , , , ,2 ,4 , , , ,I. HARD ,atp ,ATP
